Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
JP Behrendorff,2019-2023,17,2,2,6,3*,-,9,66.66,0,0,0,0,0,
BA Bhatt,2011-2013,17,2,1,6,6*,6,7,85.71,0,0,1,0,1,
DM Bravo,2017-2017,1,1,1,6,6*,-,5,120,0,0,0,1,0,
PSP Handscomb,2016-2016,2,1,0,6,6,6,12,50,0,0,0,0,0,
SB Joshi,2008-2008,4,2,0,6,3,3,14,42.85,0,0,0,0,0,
DA Payne,2026-2026,2,1,1,6,6*,-,5,120,0,0,0,0,0,
SS Shaikh,2009-2009,2,1,0,6,6,6,7,85.71,0,0,0,1,0,
P Awana,2012-2014,33,7,5,5,4*,2.5,14,35.71,0,0,2,0,0,
Fazalhaq Farooqi,2022-2025,12,3,3,5,2*,-,15,33.33,0,0,0,0,0,
KMDN Kulasekara,2011-2012,6,1,1,5,5*,-,3,166.66,0,0,0,1,0,
B Laughlin,2013-2018,9,4,2,5,4*,2.5,13,38.46,0,0,2,0,0,
Prince Yadav,2025-2026,20,3,3,5,4*,-,11,45.45,0,0,0,0,0,
Sakib Hussain,2026-2026,11,1,1,5,5*,-,7,71.42,0,0,0,1,0,
Shivam Sharma,2014-2015,5,2,1,5,4,5,3,166.66,0,0,0,1,0,
SJ Srivastava,2010-2011,14,4,3,5,3*,5,5,100,0,0,1,0,0,
B Stanlake,2017-2018,6,1,1,5,5*,-,2,250,0,0,0,1,0,
MP Yadav,2024-2026,10,1,0,5,5,5,5,100,0,0,0,1,0,
A Chandila,2012-2013,12,2,2,4,4*,-,7,57.14,0,0,0,0,0,
A Dananjaya,2018-2018,1,1,1,4,4*,-,5,80,0,0,0,0,0,
SR Dubey,2026-2026,4,1,1,4,4*,-,2,200,0,0,0,1,0,
FH Edwards,2009-2009,6,2,1,4,3*,4,5,80,0,0,0,0,0,
CRD Fernando,2008-2010,10,2,2,4,2*,-,3,133.33,0,0,0,0,0,
Litton Das,2023-2023,1,1,0,4,4,4,4,100,0,0,0,1,0,
GD McGrath,2008-2008,14,3,2,4,4*,4,5,80,0,0,1,1,0,
DP Nannes,2009-2013,29,3,2,4,3,4,13,30.76,0,0,0,0,0,
T Natarajan,2017-2026,73,5,5,4,3*,-,7,57.14,0,0,0,0,0,
L Ngidi,2018-2026,28,4,2,4,3,2,9,44.44,0,0,1,0,0,
Ravi Singh,2026-2026,1,1,0,4,4,4,2,200,0,0,0,1,0,
VRV Singh,2008-2010,19,2,0,4,4,2,3,133.33,0,0,1,1,0,
RS Sodhi,2010-2010,3,1,1,4,4*,-,2,200,0,0,0,1,0,
A Tomar,2022-2022,1,1,0,4,4,4,8,50,0,0,0,1,0,
A Uniyal,2010-2010,2,2,1,4,4*,4,7,57.14,0,0,1,0,0,
Yash Dayal,2022-2025,43,4,1,4,3,1.33,9,44.44,0,0,2,0,0,
PP Hinge,2026-2026,7,2,1,3,3,3,9,33.33,0,0,0,0,0,
D Kalyankrishna,2008-2008,3,1,0,3,3,3,8,37.5,0,0,0,0,0,
Kamran Khan,2009-2011,9,2,1,3,3,3,5,60,0,0,0,0,0,
BAW Mendis,2008-2013,10,3,1,3,2,1.5,6,50,0,0,1,0,0,
Mohammad Asif,2008-2008,8,2,0,3,3,1.5,6,50,0,0,1,0,0,
R Ninan,2011-2011,2,1,0,3,3,3,6,50,0,0,0,0,0,
DS Rathi,2025-2026,23,4,3,3,2*,3,8,37.5,0,0,0,0,0,
JE Taylor,2011-2011,5,2,1,3,2,3,3,100,0,0,0,0,0,
RJW Topley,2023-2025,6,1,1,3,3*,-,6,50,0,0,0,0,0,
S Tyagi,2009-2010,14,3,2,3,3*,3,4,75,0,0,1,0,0,
GC Viljoen,2019-2019,6,3,1,3,2*,1.5,7,42.85,0,0,1,0,0,
Younis Khan,2008-2008,1,1,0,3,3,3,7,42.85,0,0,0,0,0,
KK Ahmed,2018-2026,76,7,2,2,1*,0.4,9,22.22,0,0,4,0,0,
KP Appanna,2009-2012,14,3,2,2,1*,2,4,50,0,0,0,0,0,
Brijesh Sharma,2026-2026,13,2,2,2,1*,-,4,50,0,0,0,0,0,
H Das,2008-2008,1,1,0,2,2,2,5,40,0,0,0,0,0,
GHS Garton,2021-2021,5,3,2,2,2*,2,4,50,0,0,1,0,0,
RS Gavaskar,2010-2010,2,1,0,2,2,2,8,25,0,0,0,0,0,
AM Ghazanfar,2026-2026,11,1,1,2,2*,-,3,66.66,0,0,0,0,0,
RJ Gleeson,2024-2025,3,1,1,2,2*,-,2,100,0,0,0,0,0,
S Randiv,2011-2011,8,1,0,2,2,2,4,50,0,0,0,0,0,
DV Malewar,2026-2026,2,2,0,2,2,1,5,40,0,0,1,0,0,
Mashrafe Mortaza,2009-2009,1,1,1,2,2*,-,2,100,0,0,0,0,0,
Mohammad Ashraful,2009-2009,1,1,0,2,2,2,10,20,0,0,0,0,0,
RG More,2015-2015,2,1,1,2,2*,-,2,100,0,0,0,0,0,
T Shamsi,2016-2021,5,1,1,2,2*,-,4,50,0,0,0,0,0,
BR Sharath,2024-2024,1,1,0,2,2,2,5,40,0,0,0,0,0,
Shivam Singh,2024-2024,1,1,1,2,2*,-,3,66.66,0,0,0,0,0,
Shoaib Akhtar,2008-2008,3,1,0,2,2,2,7,28.57,0,0,0,0,0,
A Singh,2009-2012,23,5,1,2,1*,0.5,10,20,0,0,3,0,0,
SB Wagh,2010-2011,8,2,0,2,2,1,3,66.66,0,0,1,0,0,
VS Yeligati,2008-2008,2,1,0,2,2,2,2,100,0,0,0,0,0,
Abdul Basith,2023-2023,1,1,1,1,1*,-,1,100,0,0,0,0,0,
Ashok Sharma,2026-2026,6,2,2,1,1*,-,4,25,0,0,0,0,0,
Ashwani Kumar,2025-2026,10,1,1,1,1*,-,6,16.66,0,0,0,0,0,
MS Bhandage,2025-2025,1,1,0,1,1,1,4,25,0,0,0,0,0,
SE Bond,2010-2010,8,1,0,1,1,1,2,50,0,0,0,0,0,
M de Lange,2012-2015,5,1,0,1,1,1,2,50,0,0,0,0,0,
HF Gurney,2019-2019,8,1,1,1,1*,-,5,20,0,0,0,0,0,
BE Hendricks,2014-2015,7,3,2,1,1*,1,3,33.33,0,0,1,0,0,
KA Maharaj,2024-2024,2,1,0,1,1,1,2,50,0,0,0,0,0,
SS Mishra,2026-2026,2,1,1,1,1*,-,3,33.33,0,0,0,0,0,
Mohit Rathee,2023-2023,1,1,1,1,1*,-,2,50,0,0,0,0,0,
SZ Mulani,2024-2024,2,1,1,1,1*,-,1,100,0,0,0,0,0,
DJ Muthuswami,2015-2015,6,2,1,1,1,1,3,33.33,0,0,0,0,0,
P Parameswaran,2011-2012,8,2,2,1,1*,-,2,50,0,0,0,0,0,
LE Plunkett,2018-2018,7,2,1,1,1*,1,3,33.33,0,0,1,0,0,
PVSN Raju,2025-2025,2,1,1,1,1*,-,1,100,0,0,0,0,0,
NJ Rimmington,2011-2011,1,1,1,1,1*,-,1,100,0,0,0,0,0,
PM Sarvesh Kumar,2008-2008,2,1,1,1,1*,-,2,50,0,0,0,0,0,
Shoaib Ahmed,2009-2009,8,3,1,1,1*,0.5,6,16.66,0,0,2,0,0,
MJ Suthar,2024-2026,5,1,0,1,1,1,2,50,0,0,0,0,0,
DP Vijaykumar,2008-2008,9,2,2,1,1*,-,1,100,0,0,0,0,0,
LB Williams,2024-2024,2,1,1,1,1*,-,2,50,0,0,0,0,0,
S Ladda,2010-2016,9,2,1,0,0*,0,9,0,0,0,1,0,0,
YA Abdulla,2009-2010,11,1,1,0,0*,-,1,0,0,0,0,0,0,
Abdur Razzak,2008-2008,1,1,1,0,0*,-,2,0,0,0,0,0,0,
L Ablish,2010-2011,3,1,1,0,0*,-,2,0,0,0,0,0,0,
KM Asif,2018-2023,7,1,0,0,0,0,2,0,0,0,1,0,0,
RR Bhatkal,2012-2012,1,1,0,0,0,0,2,0,0,0,1,0,0,
SS Cottrell,2020-2020,6,1,0,0,0,0,2,0,0,0,1,0,0,
MJ Dagar,2023-2024,8,1,0,0,0,0,1,0,0,0,1,0,0,
JL Denly,2019-2019,1,1,0,0,0,0,1,0,0,0,1,0,0,
ND Doshi,2010-2011,4,1,0,0,0,0,13,0,0,0,1,0,0,
C Ganapathy,2010-2010,1,1,1,0,0*,-,0,-,0,0,0,0,0,
Sunny Gupta,2012-2012,1,1,0,0,0,0,1,0,0,0,1,0,0,
BW Hilfenhaus,2012-2014,17,1,1,0,0*,-,0,-,0,0,0,0,0,
U Kaul,2008-2008,5,1,1,0,0*,-,1,0,0,0,0,0,0,
S Kaushik,2016-2017,10,2,1,0,0*,0,1,0,0,0,1,0,0,
S Lamichhane,2018-2019,9,1,0,0,0,0,1,0,0,0,1,0,0,
Mayank Rawat,2026-2026,1,1,1,0,0*,-,0,-,0,0,0,0,0,
RP Meredith,2021-2023,18,3,3,0,0*,-,3,0,0,0,0,0,0,
Musheer Khan,2025-2025,1,1,0,0,0,0,3,0,0,0,1,0,0,
C Nanda,2009-2009,3,1,0,0,0,0,1,0,0,0,1,0,0,
A Nel,2008-2008,1,1,0,0,0,0,0,-,0,0,1,0,0,
MJ Owen,2025-2025,1,1,0,0,0,0,2,0,0,0,1,0,0,
IC Pandey,2013-2015,25,1,0,0,0,0,2,0,0,0,1,0,0,
V Pratap Singh,2012-2012,9,1,0,0,0,0,1,0,0,0,1,0,0,
Y Prithvi Raj,2019-2019,2,1,1,0,0*,-,1,0,0,0,0,0,0,
KS Rathore,2025-2025,1,1,0,0,0,0,5,0,0,0,1,0,0,
R Sanjay Yadav,2022-2022,1,1,0,0,0,0,2,0,0,0,1,0,0,
KR Sen,2022-2024,12,1,1,0,0*,-,3,0,0,0,0,0,0,
TP Sudhindra,2012-2012,3,1,1,0,0*,-,0,-,0,0,0,0,0,
K Yadav,2021-2023,3,1,1,0,0*,-,4,0,0,0,0,0,0,
P Amarnath,2008-2008,6,-,-,-,-,-,-,-,-,-,-,-,-,
Abhinandan Singh,2026-2026,3,-,-,-,-,-,-,-,-,-,-,-,-,
SS Agarwal,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,-,
Akash Singh,2021-2026,12,-,-,-,-,-,-,-,-,-,-,-,-,
Anand Rajan,2011-2013,8,-,-,-,-,-,-,-,-,-,-,-,-,
SM Boland,2016-2016,2,-,-,-,-,-,-,-,-,-,-,-,-,
RR Bose,2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,-,
CJ Dala,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-,
KH Devdhar,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,
P Dharmani,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,
JA Duffy,2026-2026,6,-,-,-,-,-,-,-,-,-,-,-,-,
BJ Dwarshuis,2026-2026,1,-,-,-,-,-,-,-,-,-,-,-,-,
Gagandeep Singh,2008-2008,4,-,-,-,-,-,-,-,-,-,-,-,-,
B Geeves,2008-2008,2,-,-,-,-,-,-,-,-,-,-,-,-,
RS Ghosh,2026-2026,1,-,-,-,-,-,-,-,-,-,-,-,-,
R Goyal,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,
CJ Green,2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,-,
Gurjapneet Singh,2026-2026,8,-,-,-,-,-,-,-,-,-,-,-,-,
Gurnoor Brar,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,
RS Hangargekar,2023-2023,2,-,-,-,-,-,-,-,-,-,-,-,-,
JW Hastings,2014-2016,3,-,-,-,-,-,-,-,-,-,-,-,-,
D Jansen,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,
S Joseph,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,
Karim Janat,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,
V Kaverappa,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,
AA Kazi,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,
K Khejroliya,2018-2026,9,-,-,-,-,-,-,-,-,-,-,-,-,
SC Kuggeleijn,2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-,
JB Little,2023-2024,11,-,-,-,-,-,-,-,-,-,-,-,-,
D Madushanka,2026-2026,1,-,-,-,-,-,-,-,-,-,-,-,-,
SSB Magala,2023-2023,2,-,-,-,-,-,-,-,-,-,-,-,-,
LI Meriwala,2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,-,
S Midhun,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,
T Mishra,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-,
Monu Kumar,2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,-,
SS Mundhe,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,
B Muzarabani,2026-2026,2,-,-,-,-,-,-,-,-,-,-,-,-,
MG Neser,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-,
W O'Rourke,2025-2025,3,-,-,-,-,-,-,-,-,-,-,-,-,
MB Parmar,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,
M Pathirana,2022-2026,33,-,-,-,-,-,-,-,-,-,-,-,-,
RV Pawar,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,
IC Porel,2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,-,
P Prasanth,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,
RW Price,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,
V Puthur,2025-2025,5,-,-,-,-,-,-,-,-,-,-,-,-,
AM Salvi,2009-2011,7,-,-,-,-,-,-,-,-,-,-,-,-,
S Sandeep Warrier,2019-2024,10,-,-,-,-,-,-,-,-,-,-,-,-,
GS Sandhu,2015-2015,3,-,-,-,-,-,-,-,-,-,-,-,-,
K Santokie,2014-2014,2,-,-,-,-,-,-,-,-,-,-,-,-,
SS Sarkar,2009-2009,2,-,-,-,-,-,-,-,-,-,-,-,-,
Jalaj S Saxena,2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,-,
RA Shaikh,2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,-,
H Sharma,2023-2024,2,-,-,-,-,-,-,-,-,-,-,-,-,
RS Sharma,2026-2026,6,-,-,-,-,-,-,-,-,-,-,-,-,
M Siddharth,2024-2026,9,-,-,-,-,-,-,-,-,-,-,-,-,
NB Singh,2017-2017,2,-,-,-,-,-,-,-,-,-,-,-,-,
PH Solanki,2022-2022,2,-,-,-,-,-,-,-,-,-,-,-,-,
P Suyal,2013-2015,5,-,-,-,-,-,-,-,-,-,-,-,-,
Suyash Sharma,2023-2026,39,-,-,-,-,-,-,-,-,-,-,-,-,
Tejas Baroka,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,-,
Yash Thakur,2023-2026,22,-,-,-,-,-,-,-,-,-,-,-,-,
O Thomas,2019-2019,4,-,-,-,-,-,-,-,-,-,-,-,-,
N Thushara,2024-2025,8,-,-,-,-,-,-,-,-,-,-,-,-,
T Vijay,2026-2026,1,-,-,-,-,-,-,-,-,-,-,-,-,
Yash Raj Punja,2026-2026,8,-,-,-,-,-,-,-,-,-,-,-,-,
Zeeshan Ansari,2025-2025,10,-,-,-,-,-,-,-,-,-,-,-,-,
